Library,Language,Category
lombok.SneakyThrows,Java,Code Analysis and Linting
dpsafecast.h,C++,Logging and Monitoring
java.rmi.*,Java,Networking and Messaging
org.apache.commons.lang3.exception.ExceptionUtils,Java,Testing
java.lang.reflect.Field,Java,Code Analysis and Linting
ldap3,Python,Networking and Messaging
std::time::Duration,Rust,Scheduling and Concurrency
constructs,Python,Algorithms and Data Structures
io.cucumber.java.en.Then,Java,Testing
thread,C++,Scheduling and Concurrency
org.apache.commons.io.IOUtils,Java,File Handling
io.appium.java_client.AppiumDriver,Java,Testing
sqlite3.h,C,Database Management
com.mendix.systemwideinterfaces.core.meta.IMetaPrimitive,Java,Database Management
mutex,C++,Scheduling and Concurrency
faker,Python,Testing
com.ibm.db2.jcc.DB2SQLJDBCDriver,Java,Database Management
pymodbus,Python,Networking and Messaging
com.ibm.maximo.technician.setupdata.SetupData.WoStatus,Java,Database Management
Microsoft.UI.Xaml.Controls,C#,Graphical User Interface Design
org.apache.http.client.methods.HttpGet,Java,Networking and Messaging
frus,Python,Algorithms and Data Structures
javax.xml.bind.DatatypeConverter,Java,Data Serialization
com.fasterxml.jackson.annotation.JsonIgnoreProperties,Java,Data Serialization
dpEventTraceMacro.h,C++,Logging and Monitoring
java.lang.reflect.Field,Java,Code Analysis and Linting
com.ibm.replication.model.ChangeLogFilter,Java,Database Management
sys/sysinfo.h,C,File Handling
com.ibm.bi.dml.runtime.matrix.data.InputInfo,Java,Data Serialization
com.ibm.maximo.technician.setupdata.SetupData.ItemStatus,Java,Database Management
lombok.Setter,Java,Code Analysis and Linting
com.ibm.zos.net.ftp.FTPClient,Java,Networking and Messaging
com.ibm.replication.utils.ConnectionUtil,Java,Database Management
java.util.concurrent.TimeUnit,Java,Scheduling and Concurrency
ibm_watson_machine_learning,Python,Algorithms and Data Structures
org.apache.logging.log4j.core.config.plugins.Plugin,Java,Logging and Monitoring
ibm.maximo.optimization.milp.solve.Enums.LogLevel,Java,Algorithms and Data Structures
com.mendix.systemwideinterfaces.core.meta.IMetaPrimitive.PrimitiveType,Java,Database Management
java.sql.SQLWarning,Java,Database Management
org.testng.annotations.Guice,Java,Testing
io.cucumber.java.en.Given,Java,Testing
prop-types,JavaScript,Code Analysis and Linting
com.browserstack.local.Local,Java,Testing
java.awt.event.*,Java,Graphical User Interface Design
com.ghgande.j2mod.modbus.msg.ReadInputRegistersResponse,Java,Networking and Messaging
bitcoin,Python,Security
java.security.GeneralSecurityException,Java,Security
db2,Python,Database Management
java.net.ProtocolException,Java,Networking and Messaging
psdi.util.*,Java,Logging and Monitoring
pthread.h,C,Scheduling and Concurrency
drFileStore.hpp,C++,File Handling
serde_json::{Value,Rust,Data Serialization
psdi.server.*,Java,Database Management
uptrace,Python,Logging and Monitoring
org.apache.cordova.LOG,Java,Logging and Monitoring
pinecone,Python,Algorithms and Data Structures
com.google.gson.JsonObject,Java,Data Serialization
org.testng.annotations.AfterGroups,Java,Testing
Math::BaseCalc,Perl,Mathematics and Numerics
com.fasterxml.jackson.core.JsonFactory,Java,Data Serialization
telnetlib,Python,Networking and Messaging
drPacketCapture.hpp,C++,File Handling
org.openqa.selenium.chrome.ChromeOptions,Java,Testing
pthread.h,C++,Scheduling and Concurrency
arpa/inet.h,C++,Networking and Messaging
com.ibm.wfm.utils.mappers.annotations.MappedType,Java,Code Analysis and Linting
sys/ldr.h,C,File Handling
org.apache.thrift.transport.TTransport,Java,Networking and Messaging
org.testng.annotations.BeforeTest,Java,Testing
io.cucumber.java.en.When,Java,Testing
ring::signature::{EcdsaKeyPair,Rust,Security
org.testcontainers.containers.BrowserStackLocalContainer,Java,Testing
com.ghgande.j2mod.modbus.msg.ReadInputRegistersRequest,Java,Networking and Messaging
cstdio,C++,File Handling
oci,Python,Database Management
../services/shared/data-model/practitioner-model,TypeScript,Data Serialization
com.ibm.zos.net.ftp.FTPException,Java,Networking and Messaging
javax.net.ssl.TrustManagerFactory,Java,Security
sys/device.h,C,File Handling
dmSchedulerPriority.hpp,C++,Scheduling and Concurrency
org.apache.logging.log4j.core.pattern.PatternConverter,Java,Logging and Monitoring
memory_profiler,Python,Logging and Monitoring
org.apache.http.client.methods.CloseableHttpResponse,Java,Networking and Messaging
org.testng.annotations.Optional,Java,Testing
org.testcontainers.containers.BrowserStackRemoteWebDriver,Java,Testing
pwd,Python,File Handling
gareport,Python,Logging and Monitoring
ibm_cloud_sdk_dns_services,Python,Networking and Messaging
fib,Python,Mathematics and Numerics
opentelemetry/trace/span_context.h,C++,Logging and Monitoring
org.apache.iceberg.FileScanTask,Java,Data Serialization
com.ibm.bi.dml.runtime.matrix.data.OutputInfo,Java,Data Serialization
org.apache.log4j.LogManager,Java,Logging and Monitoring
org.springframework.vault.core.VaultTemplate,Java,Security
TM1py,Python,Data Serialization
grp,Python,File Handling
org.springframework.http.client.HttpComponentsClientHttpRequestFactory,Java,Networking and Messaging
org.openqa.selenium.firefox.FirefoxDriver,Java,Testing
iterator,C++,Algorithms and Data Structures
com.ibm.bi.dml.test.integration.TestConfiguration,Java,Testing
com.ghgande.j2mod.modbus.io.ModbusSerialTransaction,Java,Networking and Messaging
svc_storage,Python,File Handling
org.apache.iceberg.StructLike,Java,Data Serialization
org.apache.thrift.transport.TTransportException,Java,Networking and Messaging
java.net.http.HttpResponse,Java,Networking and Messaging
Cwd,Perl,File Handling
org.testcontainers.junit.jupiter.Container,Java,Testing
org.bouncycastle.math.ec.custom.sec.SecP256K1Curve,Java,Security
serde_json::json,Rust,Data Serialization
ibm.maximo.optimization.model.BaseBusinessModel,Java,Algorithms and Data Structures
timeit,Python,Testing
org.openqa.selenium.remote.DesiredCapabilities,Java,Testing
org.apache.parquet.hadoop.ParquetWriter,Java,File Handling
org.testng.annotations.DependsOnGroups,Java,Testing
urllib,Python,Networking and Messaging
FindBin,Perl,File Handling
javax.swing.*,Java,Graphical User Interface Design
qiskit,Python,Mathematics and Numerics
org.apache.logging.log4j.core.pattern.ConverterKeys,Java,Logging and Monitoring
org.apache.iceberg.PartitionSpec,Java,Data Serialization
base64ct::{Base64,Rust,Data Serialization
io.appium.java_client.android.AndroidDriver,Java,Testing
org.apache.logging.log4j.core.pattern.LogEventPatternConverter,Java,Logging and Monitoring
javax.persistence.*,Java,Database Management
java.beans.PropertyDescriptor,Java,Code Analysis and Linting
dpStream.h,C++,Logging and Monitoring
com.ibm.zos.net.ftp.FTPInterfaceErrorException,Java,Networking and Messaging
kmipprotocol::types::*,Rust,Security
com.ibm.bi.dml.runtime.controlprogram.context.ExecutionContext,Java,Algorithms and Data Structures
psdi.mbo.*,Java,Database Management
spawn.h,C++,Scheduling and Concurrency
botocore,Python,Networking and Messaging
com.ibm.zos.net.ftp.FTPLine,Java,Networking and Messaging
org.testng.annotations.Listeners,Java,Testing
tweepy,Python,Networking and Messaging
org.apache.http.entity.mime.MultipartEntityBuilder,Java,Networking and Messaging
cf.h,C,File Handling
zipfile,Python,File Handling
java.util.TreeMap,Java,Algorithms and Data Structures
react-select,JavaScript,Graphical User Interface Design
sys/time.h,C,Scheduling and Concurrency
org.apache.commons.logging.Log,Java,Logging and Monitoring
cProfile,Python,Logging and Monitoring
graphitesend,Python,Logging and Monitoring
org.springframework.web.client.RestTemplate,Java,Networking and Messaging
condition_variable,C++,Scheduling and Concurrency
org.apache.commons.logging.LogFactory,Java,Logging and Monitoring
opentelemetry/trace/span.h,C++,Logging and Monitoring
cx_Oracle,Python,Database Management
java.util.LinkedHashMap,Java,Algorithms and Data Structures
com.ibm.bi.dml.runtime.controlprogram.caching.MatrixObject.UpdateType,Java,Algorithms and Data Structures
java.nio.charset.StandardCharsets,Java,File Handling
com.mendix.nativetemplate.community.mtbf.CalculateMTBFScore,Java,Algorithms and Data Structures
java.nio.file.attribute.PosixFilePermissions,Java,File Handling
java.nio.file.attribute.PosixFilePermission,Java,File Handling
org.apache.thrift.TException,Java,Networking and Messaging
dynamic_vector_compression/dynamic_vector_compression.dart;,Dart,Algorithms and Data Structures
arpa/nameser.h,C++,Networking and Messaging
java.security.Provider,Java,Security
"""$Bin/../lib""",Perl,File Handling
org.testng.annotations.BeforeGroups,Java,Testing
io.appium.java_client.Location,Java,Testing
sstream,C++,File Handling
